City,Zipcode,Marital_Status,Family_Size,Credit_Score,Current_Residence,Annual_Income,DTI,Location,Square_Footage,Upgrade_Score,Bedroom_Count,Bathroom_Count,Master_Location,Lot_Size,Closing_Date,Appraised_Value,Price,Closing_Interest_Rate,Monthly_Payment,Loan_Term,Feedback,Inflation_Rate,Unemployment_Rate,Current_Market_Interest_Rate,Year_Closed,Median_Price_of_Nearby_Homes,Sentiment_Score
Dallas,10709,Unmarried,3,351,Rent,74804.97058670758,0.34090609488300255,Rural,674.7268632174251,2,3,3,Downstairs,0.8460389128401111,2020-11-17,476603,216381.07543912565,3.661461805658166,4690,30,The process was smooth but some issues with the kitchen.,2.71115366013293,0.06262259446652818,4.6108401055395944,2021,723531,0.4
Fate,99796,Married,2,735,Own,132409.06925654944,0.3494561939321339,Rural,2563.644669355513,3,2,2,Upstairs,0.8122525698175358,2020-03-15,100089,494092.4814567657,3.9100594909304913,4535,30,The process was smooth but some issues with the kitchen.,3.4721731917125664,0.06262259446652818,2.2401422785629723,2021,298029,0.4
Little Elm,13358,Married,1,544,Rent,64887.41732095397,0.35747335405455566,Urban,1005.6228482751401,5,3,1,Downstairs,1.4323852769323344,2020-09-24,603968,225052.79001163493,2.5248681817742606,3636,17,"Very happy with the final product, but the timeline was delayed.",3.790442431527712,0.06262259446652818,5.395282948005838,2021,624194,0.5
Aubrey,48688,Unmarried,2,572,Own,49734.205346024435,0.2055819527825359,Suburban,1281.8842621971444,1,3,2,Upstairs,1.9733532516116845,2020-01-21,336085,320232.9575614282,7.411487082098828,4974,30,Had a terrible experience with the customer service.,1.4979315261744643,0.06262259446652818,4.415658151264529,2020,551699,-1.0
Dallas,18718,Unmarried,1,843,Own,24339.322068998794,0.06929168471242411,Suburban,644.4756092313582,5,1,2,Downstairs,1.811513616147401,2023-08-16,762579,100000.0,4.836114243688899,3996,18,"The home is fantastic, I love the upgrades!",6.338943177577842,4.341077703988202,2.305417263920251,2022,523574,0.5125
Dallas,49227,Married,3,593,Rent,67220.9463029184,0.5796643742260329,Suburban,1650.9543177577582,2,3,1,Upstairs,1.4309363851212866,2020-01-09,846118,319792.19712364837,3.2615817189274567,4974,16,"Very happy with the final product, but the timeline was delayed.",9.861179414731552,4.458000520943045,2.2401422785629723,2020,104621,0.5
Josephine,23671,Unmarried,1,620,Own,143141.46216688323,0.2013294960307258,Urban,2631.640239221117,3,3,1,Upstairs,0.10729491039206343,2023-07-05,194139,379304.70407560444,4.163669043950632,4974,15,The process was smooth but some issues with the kitchen.,0.005665144307003267,0.06262259446652818,2.6605490476123164,2022,547013,0.4
Fate,39902,Married,1,600,Own,147429.9389418606,0.005332021957413247,Urban,2827.4363779847945,4,1,1,Downstairs,1.9733532516116845,2022-06-30,672792,544004.0165909074,2.9031928597296712,3565,28,"Very happy with the final product, but the timeline was delayed.",6.274986095478864,1.3344120322427164,2.2401422785629723,2021,660940,0.5
Aubrey,23393,Married,4,598,Rent,34886.6312625423,0.041228224909697124,Suburban,1098.934225968363,2,3,2,Downstairs,1.4047786365594965,2021-10-08,998537,144045.07575847945,2.8549397209021223,3518,16,"Very happy with the final product, but the timeline was delayed.",4.406234553887662,4.2934459144132795,4.54351786826988,2020,104621,0.5
Dallas,39297,Unmarried,1,534,Rent,141057.03789635253,0.4921251839731482,Urban,2743.1201607762214,4,3,2,Downstairs,1.1294689709654424,2022-03-03,875031,567662.9365351708,7.336788133785837,4621,30,"Very happy with the final product, but the timeline was delayed.",0.005665144307003267,8.48404945457467,2.674455745648156,2021,542315,0.5
Frisco,38157,Married,1,645,Own,138528.83338042852,0.24991465035363014,Suburban,2286.1468878123737,3,4,1,Downstairs,0.10729491039206343,2022-11-10,100089,410895.5675632513,6.173668278080106,2264,30,The process was smooth but some issues with the kitchen.,5.1628640626516455,2.54978124559511,7.192951036719647,2020,701891,0.4
Aubrey,13059,Married,2,552,Own,140438.36670517497,0.8163663861443293,Rural,2204.923933968017,3,2,1,Upstairs,1.5610597204195753,2022-08-29,333860,388721.4118168953,2.5248681817742606,4974,15,The process was smooth but some issues with the kitchen.,3.596464868268872,3.2088874041057114,2.6103268286084087,2020,792661,0.4
Josephine,13589,Unmarried,3,434,Rent,39358.05065930977,0.05641767473004878,Suburban,500.0,4,4,3,Downstairs,0.8361960389940098,2022-01-14,100089,100000.0,5.43074265381086,4974,16,"The home is fantastic, I love the upgrades!",3.321567050710605,3.343002145938098,2.2401422785629723,2021,972995,0.5125
